Location,Address,City,Country,Long,Lat,Description,Photo,Type,LocationURL,Source
"Sawyer Library in Williamstown, Massachusetts","Stetson Hall, 26 Hopkins Hall Dr, Williamstown, MA 01267","Williamstown, MA",US,42.7135533,-73.2042445,"Williams College demolished a 1970s-era library building to make room for the new Sawyer Library, but the architects of the project—Bohlin Cywinski Jackson—also had to incorporate the classical styling of the historic Stetson Hall, built in 1921.

The result cost $66.8 million and is a blend of old and new, with a modern five-story facility housing the new Sawyer Library, the Chapin Library of Rare Books, and the Center for Education Technology. The new section features a central atrium that prioritizes natural light and offers beautiful views of campus.",https://i0.wp.com/www10.aeccafe.com/blogs/arch-showcase/files/2016/04/Williams-Sawyer-Library-1.jpg,Library,https://library.williams.edu/,Curbed
The Los Angeles Public Library,"630 W 5th St, Los Angeles, CA 90071","Los Angeles, CA ",US,34.0348263,-118.2673324,"As the largest public library in the west, the Los Angeles Central Library has been captivating book and architecture lovers since its construction in 1926. The building’s architect—Bertram Goodhue—drew upon design elements from ancient Egypt to create a geometric facade that is an early example of Art Deco.

The library’s most recognizable feature is the tiled pyramid at the top that has a golden hand holding a torch. A 1993 addition added 330,000 square feet of space—called the Tom Bradley wing—and helped to restore the original Goodhue building as well.",https://www.discoverlosangeles.com/sites/default/files/styles/article_section/public/media/Culture/central-library-rotunda-zodiac-chandelier.jpg,Library,https://www.lapl.org/about-lapl/press/central-facts,Curbed
Suzzallo and Allen Libraries,"4000 15th Ave NE, Seattle, WA 98195","Seattle, WA",US,47.6557702,-122.3100314,"Designed in the early 1920s by Seattle architects Carl F. Gould, Sr. and Charles H. Bebb, the Suzzallo Library boasts a facade made with sandstone, precast stone, terra-cotta, and brick. Reminiscent of a large European cathedral, the library’s Collegiate Gothic style makes it one of the best-known buildings on campus.

While the exterior is impressive, the 65-foot high and 250-foot long reading room is simply awe-inspiring. A vaulted ceiling with bright colors and gilded details is accented by oak bookcases and hard-carved friezes. Large leaded-glass windows let in natural light and long desks provide plenty of study room.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/MK03235_University_of_Washington_Suzzallo_Library.jpg/220px-MK03235_University_of_Washington_Suzzallo_Library.jpg,Library,http://www.lib.washington.edu/suzzallo/,Curbed
Boswell Book Company,"2559 N Downer Ave, Milwaukee, WI 53211","Milwaukee, WI",US,43.0651811,-87.8804485,,https://www.visitmilwaukee.org/remote.jpg.ashx?mode=crop&width=1920&height=1080&scale=both&urlb64=aHR0cDovL3Jlcy5jbG91ZGluYXJ5LmNvbS9zaW1wbGV2aWV3L2ltYWdlL3VwbG9hZC9jX2ZpdCx3XzE5MjAsaF8xMDgwL2NybS9taWx3YXVrZWUvVk1fQm9zd2VsbEJvb2tzX0ludGVyaW9yX01BSU5JTUcwLThmZGEyMTY1NTA1NmEzNl84ZmRhMjI2MS01MDU2LWEzNmYtMjM1M2QyNTA1YmMzNjNhNi5qcGc&hmac=G7L_ZRXwOR4,Bookstore,https://www.boswellbooks.com/opening-letter-0,New York Times
Malaprop's Bookstore/Café,"55 Haywood St, Asheville, NC 28801","Asheville, NC",US,35.5961409,-82.5570433,"the heart and soul of Asheville, N.C., when Asheville was a sleepy little hippie town, and it’s still its heart and soul now that the city is cool and overcrowded, a position Malaprop’s maintained by being unabashedly true to itself.",https://s26162.pcdn.co/wp-content/uploads/2016/11/malaprop.jpg,Bookstore,https://www.malaprops.com/,New York Times
An Unlikely Story,"111 South St, Plainville, MA 02762","Plainville, MA",US,42.0042266,-71.3376491,"On the site of the historic Falk's Market, Julie and Jeff Kinney created a cornerstone in downtown Plainville with an independent bookstore, a café, and an event space. An Unlikely Story Bookstore and Café is a community gathering place for meeting authors, eating breakfast or lunch, or relaxing with a new book and a beer or glass of wine. Directly upstairs to An Unlikely Story is the Second Story. The Second Story hosts community events including readings, jewelry workshops, yoga, karaoke, wine tastings, game nights for families, and is also available for private functions.",https://www.anunlikelystory.com/sites/anunlikelystory.com/files/an-unlikely-story-bookstore-plainville-ma.jpg,Bookstore,http://www.anunlikelystory.com,New York Times
McLean and Eakin,"307 E Lake St, Petoskey, MI 49770","Petoskey, MI",US,45.375061,-84.9589297,proves Northern Michigan has a lot more to offer than cherries and apples,https://s3-media1.fl.yelpcdn.com/bphoto/jqatS0-VYsi0mhXnaGX4Aw/348s.jpg,Bookstore,https://www.mcleanandeakin.com/,New York Times
Book Passage,"51 Tamal Vista Blvd, Corte Madera, CA 94925","Corte Madera, CA",,37.8645546,-122.5252646,"No bookstore ever made a strip mall look better than Book Passage in Corte Madera, Calif. Every author you could hope to see comes to read at Book Passage.",https://pics.librarything.com/picsizes/a1/d9/a1d9f6678ee09ba636c584d41774259416c6743.jpg,Bookstore,,New York Times
Explore Booksellers ,"221 E Main St, Aspen, CO 81611","Aspen, CO",,39.1907955,-106.8233186,"And then there’s Explore Booksellers in Aspen, Colo., a town that’s gotten so expensive that the bookstore would have to sell Chanel bags alongside Michael Chabon novels in order to make the rent, so a group of people got together and bought it so that the town could have a bookstore",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRvsr-V5mS0ta1gASgBEfbHRYU7YkW6PEttRVLruIoBEGwNHXK,Bookstore,https://www.explorebooksellers.com/,New York Times
Harward Bookstore,"1256 Massachusetts Ave, Cambridge, MA 02138","Cambridge, MA ",,42.37255,-71.1184747,"From Harvard Book Store: ""Harvard Book Store is a unique and special place for readers—a locally owned, independently run Cambridge landmark since 1932. We are well known for our award-winning author event series; an extraordinary selection of thoughtfully curated new, used, and remaindered books; and a history of innovation.""",http://wordpress-imageuploads-prod.s3.amazonaws.com/wp-content/uploads/2015/09/IMG_0836.jpg,Bookstore,http://www.harvard.com/index.php?/,New York Times
Providence Athenaeum,"251 Benefit St, Providence, RI 02903","Providence, RI",,41.825788,-71.4085667,"The Providence Athenaeum was founded as ""The Athenaeum"" in 1836 as an independent, member-supported library open to the public. Its progenitors were two earlier libraries: The Providence Library Company, founded in 1753, and the Providence Athenaeum, founded in 1831.",https://assets.atlasobscura.com/media/W1siZiIsInVwbG9hZHMvcGxhY2VfaW1hZ2VzL2I3ODI2MGQ5YjYxZTFjYzlkZF9Qcm92aWRlbmNlX0F0aGVuYWV1bV9pbnRlcmlvcl8yMDEzLmpwZyJdLFsicCIsInRodW1iIiwieDM5MD4iXSxbInAiLCJjb252ZXJ0IiwiLXF1YWxpdHkgODEgLWF1dG8tb3JpZW50Il1d/Providence_Athenaeum_interior_2013.jpg,,https://providenceathenaeum.org/,Business Insider
